sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Raw,Espece,Notes_groupe
S_23_00979,96141,983679,10.232,10.678,5025887,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00980,94478,1398076,14.798,15.677,7430966,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00981,100205,1558551,15.554,16.806,8084400,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00982,102781,2173479,21.147,22.744,11441948,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00983,109234,2381681,21.803,23.654,12204912,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00984,88794,914244,10.296,10.738,4775236,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00985,88580,1147137,12.95,13.467,6023640,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00986,94389,1547153,16.391,17.283,8061526,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00987,100188,1338122,13.356,14.605,6666172,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00988,120957,1778224,14.701,16.824,9090642,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00989,112865,2621814,23.23,25.736,13516926,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00990,104791,1458416,13.917,14.896,7580290,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00991,93170,1966702,21.109,22.519,10339933,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00992,99479,2052378,20.631,22.091,10658084,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00993,88969,1123232,12.625,13.154,5856465,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00994,102400,2736449,26.723,29.068,14652122,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00995,112315,2020060,17.986,19.804,10557044,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00996,95950,1062880,11.077,11.675,5484596,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00997,101168,1824511,18.034,19.506,9840306,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00998,94529,1217532,12.88,13.635,6473661,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_00999,104681,1612797,15.407,16.855,8226832,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01000,92937,959717,10.327,10.805,5132053,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01001,81747,834537,10.209,10.524,4417608,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01002,91275,1209829,13.255,14.092,6261887,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01003,107043,3151295,29.44,32.098,16501306,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01004,100356,1260057,12.556,13.342,6612637,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01005,98562,1525429,15.477,16.483,8054361,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01006,96981,2363328,24.369,26.59,12778062,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01007,100533,2329076,23.167,25.081,12293689,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01008,114983,2303742,20.036,22.413,11687061,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01010,107639,2402818,22.323,24.506,12684736,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01011,96677,1096503,11.342,11.928,5724877,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01012,78453,751148,9.574,9.899,3916193,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01013,97361,1999058,20.532,22.131,10664207,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01026,108075,2521014,23.327,25.7,13308097,undatum,Groupe_EGSL_Portneuf_Offshore
S_23_01043,94646,1587941,16.778,17.94,8359579,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01045,105818,1980951,18.72,20.348,10470620,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01046,108211,1877340,17.349,18.864,9819563,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01047,107353,1799738,16.765,18.056,9329961,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01048,106739,1837009,17.21,18.936,9198959,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01049,39578,266096,6.723,6.688,1536623,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01050,87190,1004753,11.524,12.26,5084130,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01051,74785,647822,8.662,8.987,3300750,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01053,107071,1812208,16.925,18.141,9189883,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01054,108447,2932656,27.042,29.791,15627001,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01055,42586,295125,6.93,6.916,1684847,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01056,93412,1446639,15.487,16.505,7526679,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01057,33284,221226,6.647,6.583,1340139,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01058,63710,490261,7.695,7.842,2615051,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01059,109285,2167142,19.83,21.588,11367113,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01060,105259,3188540,30.292,33.254,17187309,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01061,86382,927517,10.737,11.239,4762753,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01062,1,3,3,3,706,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01064,107469,1617537,15.051,16.138,8363928,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01065,100110,1939078,19.369,20.735,9780261,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01066,40471,275086,6.797,6.767,1488385,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01067,103445,1357115,13.119,14.052,6704069,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01068,38230,250625,6.556,6.498,1423608,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01069,831,4849,5.835,5.548,42304,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01070,83498,843852,10.106,10.533,4346666,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01071,42642,289895,6.798,6.814,1658892,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
S_23_01072,106179,3042836,28.658,31.166,15833899,undatum,Groupe_EGSL_Baie_des_Bacon_Inshore
