ID,Fis,Fis.IC95.low,Fis.IC95.high,He,He.IC95.low,He.IC95.high,Ho,Ho.IC95.low,Ho.IC95.high
Portneuf,-3.0097987288135452e-5,-0.0026378316026940446,0.002577635628117664,0.25101375347148047,0.24909607766454384,0.25293142927842865,0.253532360606708,0.2513974163226917,0.2556673048907399
Baie des Bacon,0.01546615349682107,0.012521242826408523,0.018411064167233072,0.24897435163426618,0.24698475307815984,0.25096395019036793,0.24514430249946592,0.24298101461808924,0.24730759038083794
Iles Penchees,0.021915472805235838,0.019023961890307,0.024806983720161012,0.248329365520188,0.246362581254175,0.25029614978619485,0.24213806878872035,0.24004099924200853,0.24423513833540403
Bic1,0.01742248030970498,0.014870920127645577,0.01997404049176465,0.246395107882931,0.24443716206400903,0.2483530537018638,0.2427394402905362,0.24065778301759527,0.24482109756349357
Bic2,0.02814367857142857,0.02549974943944118,0.03078760770341652,0.2455259047212134,0.2435660974927995,0.24748571194963026,0.23832448622089297,0.2362755529220155,0.24037341951978705
Baie Comeau1,0.0031323851106994796,6.239948421514793e-4,0.005640775379247566,0.2517096560563982,0.24981302500459496,0.25360628710820615,0.2528595385601367,0.250776239791391,0.25494283732889905
Iles de la Madeleine,0.023729013154920663,0.021102465071370237,0.026355561238468682,0.24418599444563127,0.24219903743520724,0.2461729514560506,0.23778229010895108,0.23571159561608546,0.23985298460180632
Pointe a Emile,0.03164385134229687,0.02881375742480657,0.03447394525978742,0.24703127964110233,0.2450872981647605,0.2489752611174213,0.2380236530655843,0.2359873074182729,0.2400599987128787
Mingan,0.02748952472002185,0.024543919351899982,0.030435130088141155,0.24361867122409742,0.2416294278817461,0.24560791456644712,0.2361416534928434,0.23403769229682314,0.23824561468883287
Forestville,0.015331402383962434,0.012375019948841843,0.018287784819083202,0.2483150608844264,0.24635285834465587,0.25027726342419676,0.2445411535996582,0.2424074098140224,0.2466748973852678
Baie Comeau2,-0.022205240763802408,-0.02615234545999838,-0.018258136067610745,0.2520640589617603,0.24982409378174292,0.2543040241417183,0.25846682332834864,0.2558165961232502,0.2611170505333718
Saint Andrews,0.02164557702450017,0.018827311404367227,0.024463842644631743,0.2402483571886349,0.23806076071471377,0.24243595366255877,0.23548668233283487,0.23316395724314315,0.23780940742254963
Green's Point,0.022604786741408724,0.01968835650671556,0.025521216976102098,0.2403026789147618,0.23810367737959934,0.24250168044991452,0.2352031275368511,0.23286719891691193,0.2375390561567861
Gannet Lighthouse,0.00787979251240415,0.004482353178698911,0.011277231846109122,0.2423060158085879,0.24009576956063308,0.24451626205652763,0.24068338816492202,0.2382459569402721,0.2431208193895287
3L,0.023073562787208103,0.019981131071648704,0.02616599450276796,0.23650169621875666,0.23445988193071401,0.23854351050681818,0.22978304208502456,0.22761355161436853,0.2319525325556661
3Ps,0.029475245633187774,0.026653324259057018,0.0322971670073189,0.2431343388164922,0.24113573752708856,0.24513294010587044,0.23475543259987183,0.23267459121526807,0.23683627398445495
