ID,RunSeq,No_plaque,Ntotal,Nsurvival
NS.LH00487_0017.001.B709---D503.Pradseq_23_001,NS.LH00487_0017.001.B709---D503.Pradseq_23_001,NA,404778007,404583484
NS.LH00487_0017.001.B709---D504.Pradseq_23_002,NS.LH00487_0017.001.B709---D504.Pradseq_23_002,NA,384098981,383943628
NS.LH00487_0017.001.B710---B501.Pradseq_23_003,NS.LH00487_0017.001.B710---B501.Pradseq_23_003,NA,371291744,371132096
NS.LH00487_0017.001.B710---B502.Pradseq_23_004,NS.LH00487_0017.001.B710---B502.Pradseq_23_004,NA,371836888,371656014
NS.LH00487_0017.001.B711---B503.Pradseq_23_005,NS.LH00487_0017.001.B711---B503.Pradseq_23_005,NA,393542103,393418947
NS.LH00487_0017.001.B711---B504.Pradseq_23_006,NS.LH00487_0017.001.B711---B504.Pradseq_23_006,NA,429298478,429173272
